,employer_name,rating
997,Alcon,3.7
998,Heartland Dental,3.5
999,Rockwell Collins,3.8
1000,Aya Healthcare,4.3
1001,Vail Resorts,3.3
1002,SolarCity,3.4
1003,National Grid,3.9
1004,Duke Health,3.7
1005,Royal Caribbean Group,4.0
1006,Five Below,3.3
1007,Temple University,3.9
1008,Walmart Global Tech,3.9
1009,UniFirst,3.7
1010,Pitney Bowes,3.4
1011,Not Listed,3.9
1012,Principal Financial Group,4.0
1013,Transamerica,3.3
1014,Weill Cornell Medicine,4.0
1015,Novant Health,3.9
1016,Tiffany & Co.,3.4
1017,Chuck E. Cheese,3.6
1018,PTC,4.2
1019,Colgate-Palmolive,4.2
